"Month","Timestamp","Day of Week","Hour of Day","Route ID","Direction","Route Type","Stop Order","Timepoint Stop ID","Timepoint Stop Name","Timepoint Stop Latitude","Timepoint Stop Longitude","Next Timepoint Stop ID","Next Timepoint Stop Name","Next Timepoint Stop Latitude","Next Timepoint Stop Longitude","Road Distance","Average Travel Time","Average Road Speed","Bus Trip Count"
"7","2023 Jul 01 06:00:00 PM","Wednesday","18","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","13.196874","9.18854069402","16"
"7","2023 Jul 01 09:00:00 PM","Wednesday","21","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","5.500008","8.91271917026","4"
"7","2023 Jul 01 08:00:00 AM","Wednesday","8","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","11.13846","10.88660371362","13"
"7","2023 Jul 01 04:00:00 PM","Wednesday","16","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","7.160418","8.60564646044","8"
"7","2023 Jul 01 07:00:00 AM","Wednesday","7","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","5.80278","8.44767507988","12"
"7","2023 Jul 01 04:00:00 PM","Wednesday","16","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","8.166666","6.0024475796","7"
"7","2023 Jul 01 08:00:00 AM","Wednesday","8","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","7.685418","6.3783121772","16"
"7","2023 Jul 01 02:00:00 PM","Wednesday","14","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","6.787884","7.2216932046","11"
"7","2023 Jul 01 12:00:00 AM","Wednesday","0","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","5.758338","10.70100992735","4"
"7","2023 Jul 01 10:00:00 PM","Wednesday","22","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","6.514284","9.45921052632","7"
"7","2023 Jul 01 11:00:00 PM","Wednesday","23","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","5.75208","10.71264655568","8"
"7","2023 Jul 01 12:00:00 PM","Wednesday","12","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","8.318754","5.89271047552","8"
"7","2023 Jul 01 03:00:00 PM","Wednesday","15","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","13.443054","9.0202710619","12"
"7","2023 Jul 01 11:00:00 PM","Wednesday","23","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","10.763334","11.26602593583","10"
"7","2023 Jul 01 12:00:00 PM","Wednesday","12","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","14.094996","8.60305316866","10"
"7","2023 Jul 01 05:00:00 PM","Wednesday","17","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","8.642862","5.67173178728","7"
"7","2023 Jul 01 05:00:00 AM","Wednesday","5","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.022","9.364284","12.95560640732","7"
"7","2023 Jul 01 01:00:00 AM","Wednesday","1","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","4.733328","13.01833277875","4"
"7","2023 Jul 01 08:00:00 PM","Wednesday","20","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","5.705562","8.59161940283","3"
"7","2023 Jul 01 05:00:00 PM","Wednesday","17","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","13.106064","9.25220723679","11"
"7","2023 Jul 01 03:00:00 PM","Wednesday","15","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","9.587508","5.11290476511","4"
"7","2023 Jul 01 06:00:00 PM","Wednesday","18","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","6.959088","8.85460714686","11"
"7","2023 Jul 01 01:00:00 PM","Wednesday","13","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","8.172918","5.99786000466","8"
"7","2023 Jul 01 12:00:00 AM","Wednesday","0","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","9.928566","12.21324092467","7"
"7","2023 Jul 01 08:00:00 AM","Wednesday","8","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","6.220848","9.90540674137","4"
"7","2023 Jul 01 07:00:00 PM","Wednesday","19","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","12.484446","9.71288749423","15"
"7","2023 Jul 01 10:00:00 PM","Wednesday","22","BX42","E","Local","31","102613","RANDALL AV/E TREMONT AV","40.826154","-73.821999","104299","HARDING AV/HOSMER AV","40.813235","-73.826535","2.021","11.05758","10.96623311792","11"
"7","2023 Jul 01 07:00:00 AM","Wednesday","7","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","4.664286","13.21101794118","7"
"7","2023 Jul 01 02:00:00 PM","Wednesday","14","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","6.466668","9.52886843528","4"
"7","2023 Jul 01 08:00:00 PM","Wednesday","20","BXM1","N","Express","13","404250","BROADWAY/W 207 ST","40.867705","-73.920997","984006","W 230 ST / BROADWAY","40.877199","-73.906891","1.027","6.41061","9.61219388094","11"
"7","2023 Jul 01 09:00:00 AM","Wednesday","9","BXM1","S","Express","29","403424","LEXINGTON AV/E 50 ST","40.756659","-73.972382","403821","LEXINGTON AV / E 34 ST","40.746315","-73.97997","0.817","8.411106","5.82800704375","21"
